name,tag
ArrowKeysOn10FPS,EZD88
bilalthebrown,8846
Brahmabull27,998
Captainbruh,4073
deadly,111
DronZ,8847
ETERNAL S0UL,NA1
far00q,NA1
flixs,Ffixs
G4mb1T,PBE
HalfEvilPrince,333
Hathan Baa,7764
hoda,3044
Icee,272
Khabib The Eagle,GOAT
Maze,1738
Mocha Senpai,Mocha
MujMo,7929
Owais23,BOT1
Pina,KLOTA
REMU,786
ShockD,000
TheCheesiestBoi,CURD
TOXIC,4805
zmbi,2024
