Name,RD,CS
deadly,6,412
flixflix,-6,280
Brahmabull27,6,228
bilalthebrown,6,218
SappaFigure,6,208
DronZ,-6,173
FeelDaZombie,-6,171
Maze,-6,146
Pinakalota,-6,139
ArrowKeys,6,114
