Name,RD,CS
flixflix,5,394
REMU,5,269
bilalthebrown,5,233
Pinakalota,5,180
TheCheesiestBoi,5,93
deadly,-5,311
ArrowKeys,-5,256
Maze,-5,141
MujMo,-5,120
Icee272,-5,75
