Name,RD,CS
deadly,-2,368
ShockD,-2,289
bilalthebrown,-2,162
Pinakalota,-2,160
Icee272,-2,107
Brahmabull27,2,330
far00q,2,252
flixflix,2,216
FeelDaZombie,2,164
Owais23,2,157
