Name,RD,CS
deadly,4,346
Brahmabull27,-4,316
flixflix,-4,290
DronZ,-4,243
FeelDaZombie,4,233
Maze,4,210
MujMo,4,200
ArrowKeys,-4,144
TheCheesiestBoi,4,99
MUSADDIQ,-4,73
