Name,RD,CS
far00q,2,367
deadly,2,342
flixflix,-2,281
REMU,2,239
bilalthebrown,-2,211
Owais23,-2,210
Maze,-2,175
MujMo,2,150
HiddenSword,-2,147
TheCheesiestBoi,2,72
