Name,RD,CS
flixflix,4,351
deadly,-4,312
Brahmabull27,4,301
bilalthebrown,4,261
REMU,-4,221
FeelDaZombie,4,213
Pinakalota,-4,212
Maze,-4,148
MUSADDIQ,-4,103
ArrowKeys,4,89
