Name,RD,CS
Brahmabull27,-5,252
flixflix,-5,220
TheCheesiestBoi,-5,202
bilalthebrown,-5,190
DronZ,-5,103
deadly,5,299
FeelDaZombie,5,251
Maze,5,227
REMU,5,208
MujMo,5,194
