Name,RD,CS
deadly,9,398
Owais23,9,368
Brahmabull27,-9,294
flixflix,-9,221
DronZ,-9,228
FeelDaZombie,9,141
Maze,9,156
ArrowKeys,-9,171
TheCheesiestBoi,9,65
MUSADDIQ,-9,19
