Name,RD,CS
deadly,-3,384
Pinakalota,-3,200
TheCheesiestBoi,-3,187
REMU,-3,175
Icee272,-3,113
flixflix,3,341
Maze,3,233
bilalthebrown,3,224
DronZ,3,170
FeelDaZombie,3,156
