Name,RD,CS
HiddenSword,9,277
ShockD,9,514
flixflix,-9,209
Pinakalota,-9,257
MujMo,-9,220
TheCheesiestBot,-9,125
Owais23,-9,279
Maze,9,193
TOXIC,9,191
Icee272,9,104
