Name,RD,CS
deadly,-3,364
flixflix,3,324
FeelDaZombie,3,271
Brahmabull27,3,240
Maze,-3,218
bilalthebrown,3,199
DronZ,-3,186
REMU,-3,166
Owais23,3,157
Hathan Baa,-3,136
