Name,RD,CS
deadly,-2,349
flixflix,-2,333
HiddenSword,2,289
far00q,2,259
Maze,2,222
bilalthebrown,-2,172
Owais23,-2,154
MujMo,2,138
TheCheesiestBoi,-2,132
Pinakalota,2,120
