Name,RD,CS
Brahmabull27,2,357
flixflix,2,344
FeelDaZombie,-2,318
deadly,-2,308
Maze,-2,212
bilalthebrown,2,205
DronZ,-2,160
Hodamaster,2,98
ArrowKeys,-2,74
TheCheesiestBoi,2,71
