Name,RD,CS
deadly,10,424
flixflix,-10,323
Pinakalota,10,221
bilalthebrown,10,216
SappaFigure,10,192
FeelDaZombie,-10,188
DronZ,-10,184
ShockD,10,178
Brahmabull27,-10,150
Maze,-10,107
