Name,RD,CS
deadly,7,343
flixflix,7,340
far00q,-7,320
Owais23,7,226
HiddenSword,-7,203
bilalthebrown,7,169
Pinakalota,-7,157
Maze,-7,156
MujMo,-7,126
TheCheesiestBoi,7,64
