Name,RD,CS
deadly,-2,393
Brahmabull27,2,313
flixflix,2,295
FeelDaZombie,-2,252
DronZ,2,238
Owais23,-2,198
Pinakalota,2,182
TheCheesiestBoi,-2,180
Maze,-2,159
Icee272,2,70
