Name,RD,CS
DronZ,12,337
flixflix,12,314
FeelDaZombie,12,260
Brahmabull27,-12,236
Maze,-12,225
Owais23,12,204
MujMo,-12,156
bilalthebrown,12,144
Icee272,-12,144
TheCheesiestBoi,-12,50
