Name,RD,CS
flixflix,8,430
deadly,8,274
Maze,8,240
TheCheesiestBoi,8,240
MUSADDIQ,8,49
bilalthebrown,-8,264
FeelDaZombie,-8,227
ShockD,-8,207
REMU,-8,192
MujMo,-8,76
