Name,RD,CS
Owais23,-9,279
Pinakalota,-9,257
MujMo,-9,220
flixflix,-9,209
TheCheesiestBoi,-9,125
ShockD,9,514
HiddenSword,9,277
Maze,9,193
TOXIC,9,191
Icee272,9,104
