Name,RD,CS
flixflix,2,331
REMU,2,325
Pinakalota,2,197
TheCheesiestBoi,2,178
ArrowKeys,2,111
Brahmabull27,-2,506
Maze,-2,251
bilalthebrown,-2,151
MujMo,-2,132
Icee272,-2,76
