Name,RD,CS
Brahmabull27,9,489
DronZ,9,289
ShockD,9,260
ArrowKeys,9,115
TheCheesiestBoi,9,43
SappaFigure,-9,273
REMU,-9,196
Maze,-9,164
TOXIC,-9,150
flixflix,-9,99
