Name,RD,CS
FeelDaZombie,5,396
deadly,5,315
SappaFigure,-5,256
Brahmabull27,-5,236
far00q,5,236
Maze,-5,178
bilalthebrown,5,168
DronZ,-5,146
REMU,-5,137
MujMo,5,89
