Name,RD,CS
deadly,2,457
Pinakalota,-2,251
TheCheesiestBoi,-2,104
REMU,2,206
Icee272,2,106
flixflix,-2,311
Maze,-2,231
bilalthebrown,-2,176
DronZ,2,168
FeelDaZombie,2,211
