Name,RD,CS
deadly,6,357
Brahmabull27,-6,280
bilalthebrown,6,228
flixflix,-6,223
DronZ,6,196
SappaFigure,6,195
FeelDaZombie,-6,190
Maze,6,181
Pinakalota,-6,159
REMU,-6,134
