Name,RD,CS
far00q,6,363
FeelDaZombie,6,253
Maze,6,217
flixflix,6,217
TheCheesiestBoi,6,106
deadly,-6,356
Owais23,-6,233
bilalthebrown,-6,164
ArrowKeys,-6,138
Icee272,-6,50
