Name,RD,CS
FeelDaZombie,8,296
deadly,8,290
flixflix,-8,160
DronZ,-8,101
Maze,-8,92
bilalthebrown,-8,88
REMU,8,175
Pinakalota,-8,73
ArrowKeys,8,156
TheCheesiestBoi,8,110
