Name,RD,CS
deadly,2,420
Brahmabull27,-2,310
FeelDaZombie,-2,269
flixflix,-2,238
Owais23,-2,210
DronZ,2,195
REMU,2,162
Hathan Baa,2,158
Maze,2,145
bilalthebrown,-2,82
