Name,RD,CS
deadly,2,405
REMU,2,306
DronZ,2,222
ArrowKeys,2,125
TheCheesiestBoi,2,101
Brahmabull27,-2,277
flixflix,-2,275
Maze,-2,224
bilalthebrown,-2,176
MujMo,-2,129
