Name,RD,CS
deadly,-5,381
far00q,5,334
Brahmabull27,5,299
FeelDaZombie,5,256
SappaFigure,-5,181
ArrowKeys,-5,176
bilalthebrown,-5,148
REMU,5,138
DronZ,-5,122
MUSADDIQ,5,111
