Name,RD,CS
deadly,2,343
Brahmabull27,-2,336
Maze,2,335
flixflix,-2,298
FeelDaZombie,2,212
Owais23,-2,201
DronZ,2,125
TheCheesiestBoi,-2,85
ArrowKeys,-2,82
MujMo,2,55
