Name,RD,CS
Brahmabull27,5,400
flixflix,-5,276
deadly,-5,266
DronZ,5,265
ShockD,5,231
Maze,-5,203
G4mb1T,5,170
FeelDaZombie,-5,135
MujMo,5,68
ArrowKeys,-5,57
