Name,RD,CS
deadly,-8,314
ShockD,8,229
flixflix,-8,263
REMU,8,243
SappaFigure,8,304
DronZ,8,181
Owais23,-8,148
Maze,8,133
TOXIC,-8,71
DummyBaba,-8,132
